popularidade_musica,duracao_musica_ms,dancabilidade,energia,chave,vivacidade,volume,modo_audio,fala,ritmo,assinatura_tempo,valencia_audio
0.73,0.7084261424607637,0.35900783289817234,0.6617584293640633,0.7272727272727273,0.13858823529411765,0.2801340812696675,1.0,0.03245033112582781,0.7813933044236989,1.428571428571428609,0.46535276234406125
0.66,0.5143285892015066,0.41906005221932124,0.844216816047802,0.2727272727272727,0.25411764705882356,0.43829525242851275,0.0,0.05496688741721853,0.37593240131471045,1.428571428571428609,0.3563266589789287
0.76,0.577602681453423,0.6736292428198434,0.42808365343576615,0.0,0.6,0.5355041729374743,1.0,0.08741721854304635,0.4981204363998976,1.428571428571428609,0.30810357479819694
0.74,0.5143285892015066,0.3002610966057441,0.9690567648314128,0.0,0.24,0.33780270898891773,1.0,0.11810154525386311,0.4886930964580231,1.428571428571428609,0.17601425725967085
0.56,0.5437980701401863,0.2950391644908617,0.7513871105420401,0.9090909090909092,0.2658823529411765,0.3464906279928855,1.0,0.03454746136865342,0.8138740003542633,1.428571428571428609,0.5701855540413041
0.8,0.5953878317080158,0.12402088772845954,0.9423815620998719,0.36363636363636365,0.931764705882353,0.21678752223286357,0.0,0.13686534216335539,0.9314369312926019,1.428571428571428609,0.3039102631303072
0.81,0.4414778775817326,0.46997389033942555,0.8804950917626975,0.36363636363636365,0.6305882352941177,0.25030783964974684,0.0,0.06887417218543045,0.27963838902046195,1.428571428571428609,0.7274347415871686
0.76,0.5009341479160164,0.5117493472584858,0.950917626973965,0.18181818181818182,0.35764705882352943,0.23498426597345737,1.0,0.09437086092715231,0.37455471071777685,1.428571428571428609,0.5313974211133243
0.8,0.5384967272758365,0.14229765013054835,0.9327784891165174,0.09090909090909091,0.21788235294117647,0.25037624846080175,1.0,0.10121412803532008,0.6570862499917993,1.428571428571428609,0.2137540622706783
0.81,0.45624040734834526,0.41906005221932124,0.8997012377294068,0.8181818181818182,0.32,0.3867150088931454,1.0,0.05960264900662251,0.6917646904460437,1.428571428571428609,0.3605199706468184
0.78,0.3062081290107438,0.5326370757180157,0.8911651728553137,0.18181818181818182,0.6188235294117648,0.232658366397592,1.0,0.053311258278145694,0.7478301373098295,1.428571428571428609,0.943390292483489
